Year,Medium,Count
1865.0,Gelatin silver print,1
1866.0,"Etching, printed in black",12
1866.0,Albumen silver print,3
1866.0,12 etchings: 11 printed in black and 1 printed in color,1
1866.0,Albumen silver print from a glass negative,1
1866.0,Albumen silver prints,1
1866.0,Bent beechwood and cane,1
1866.0,"Etching, printed in color",1
1866.0,Pen and ink on tan wove paper,1
1867.0,Albumen silver print,8
1867.0,Carbon print,2
1867.0,Lithograph,2
1867.0,Albumen silver print from a glass negative,1
1867.0,Albumen silver print from a wet-collodion glass negative,1
1867.0,Albumen silver print from wet-collodion glass negative,1
1867.0,Albumen silver prints,1
1867.0,Mahogany,1
1868.0,Photogravure,38
1868.0,Albumen silver print,10
1868.0,Albumen silver print (carte-de-visite),4
1868.0,Carbon print,2
1868.0,Collotype,2
1868.0,Lithograph,2
1868.0,"Lithograph, printed in black",1
1868.0,"Lithograph, printed in color",1
1869.0,Albumen silver print from a glass negative,141
1869.0,Autotype,24
1869.0,Collotype,6
1869.0,Carbon print,3
1869.0,Albumen silver print,1
1869.0,Albumen silver prints from a glass negative,1
1870.0,Collotype,2
1870.0,Relief engraving,2
1870.0,Albumen silver print from wet-collodion glass negative,1
1870.0,Autotype,1
1871.0,Albumen silver print,39
1871.0,Collotype,5
1872.0,Albumen silver print,12
1872.0,"Albumen silver print, printed 1977",10
1872.0,Collotype,4
1872.0,Albumen silver print from a glass-plate negative,1
1872.0,"Albumen silver prints, printed 1977",1
1872.0,Offset lithograph,1
1872.0,Oil on canvas,1
1873.0,Collotype,115
1873.0,Albumen silver print,6
1873.0,Collotypes,2
1873.0,Etching and drypoint,2
1873.0,Albumen silver print (gold-toned),1
1873.0,Albumen silver prints,1
1873.0,"Charcoal and black chalk, with stumping, erasing, and wiping, on rose paper altered to a light golden tone",1
1873.0,Molded plywood (three sections),1
1873.0,Photograph,1
1874.0,Collotype,108
1874.0,"Etching and aquatint, printed in black",4
1874.0,Albumen silver print from a glass-plate negative,2
1874.0,Collotypes,2
1874.0,"Etching, printed in black",2
1874.0,"8 etchings (including title page), 4 with aquatint, printed in black",1
1874.0,Albumen silver print,1
1874.0,"Etchings, printed in black",1
1875.0,Albumen silver print,127
1875.0,Lithograph from an illustrated book with six lithographs (including ex libris),6
1875.0,Various materials,2
1875.0,Illustrated book with six transfer lithographs (including ex libris),1
1875.0,Lithograph,1
1875.0,Woodburytype,1
1876.0,Woodburytype,40
1876.0,Albumen silver print from a glass negative,9
1876.0,Album of 40 woodburytypes,1
1876.0,Albumen silver print,1
1876.0,Bent beech wood,1
1876.0,Printed cotton,1
1877.0,Woodburytype,35
1877.0,Albumen silver prints,1
1877.0,Two woodburytypes,1
1878.0,Albumen silver print (carte-de-visite),1
1878.0,Charcoal and chalk on colored paper,1
1878.0,Collotype,1
1878.0,"Relief engraving in type metal, printed in black",1
1879.0,One from a portfolio of ten lithographs on chine appliqué,8
1879.0,"One from a portfolio of ten lithographs on chine appliqué
",2
1879.0,Albumen silver print (carte de visite),1
1879.0,Cover from a portfolio of ten lithographs,1
1879.0,"Etching, aquatint and drypoint",1
1879.0,Lithograph,1
1879.0,Lithograph with chine appliqué,1
1879.0,"Portfolio of ten lithographs on chine appliqué, and cover
",1
1880.0,Various materials,3
1880.0,Albumen silver print,2
1880.0,Etching,2
1880.0,Electroplated silver with wooden handles and knob,1
1880.0,"Etching and drypoint, printed in black",1
1880.0,Etching and roulette,1
1880.0,"Etching, aquatint, and drypoint",1
1880.0,Hand-blown clear crystal,1
1881.0,"Etching and aquatint with chine collé from a portfolio of seven etching and aquatints and five etchings, all with chine collé",5
1881.0,"Etching with chine collé from a portfolio of seven etching and aquatints and five etchings, all with chine collé",5
1881.0,Albumen silver print,2
1881.0,Beechwood and cane,1
1881.0,Charcoal on paper,1
1881.0,Cyanotype,1
1881.0,"Etched title page from a portfolio of seven etchings, three etching and aquatints with chine collé and etched title page",1
1881.0,Tintype,1
1882.0,Albumen silver print,2
1882.0,Albumen silver prints pasted on letterpress,1
1882.0,Charcoal and chalk on paper,1
1882.0,Lithograph,1
1882.0,Lithograph on chine appliqué,1
1883.0,Charcoal and chalk on paper,2
1883.0,Lithograph with chine appliqué,2
1883.0,Cotton,1
1883.0,Etching,1
1883.0,Various materials,1
1883.0,Wax and plaster,1
1884.0,Albumen and gelatin silver printing-out-paper prints,1
1884.0,Albumen silver print,1
1884.0,Cotton,1
1884.0,Etching and aquatint,1
1885.0,One from a portfolio of six lithographs with chine appliqué,6
1885.0,Journal with relief halftone illustration,2
1885.0,Albumen silver print,1
1885.0,Electroplated silver and glass,1
1885.0,Lithograph,1
1885.0,Lithograph with chine appliqué,1
1885.0,Photogravure,1
1885.0,Platinum print,1
1885.0,Portfolio of six lithographs with chine appliqué,1
1886.0,Lithograph with chine appliqué,5
1886.0,Albumen silver print,1
1886.0,Blown glass,1
1886.0,Carbon print (?),1
1886.0,Etching,1
1886.0,Etching and drypoint,1
1886.0,Lithograph,1
1886.0,"Oil on canvas, with painted wood frame",1
1887.0,Lithograph from an illustrated book with seven lithographs,7
1887.0,Lithograph with chine appliqué,4
1887.0,Oil on canvas,2
1887.0,Albumen print,1
1887.0,Etching,1
1887.0,Illustrated book with seven lithographs,1
1887.0,One from an album of 50 lithographs,1
1887.0,Pencil and colored pencil on tracing paper,1
1888.0,Photogravure,31
1888.0,Etching,11
1888.0,"Lithograph on chine appliqué from a portfolio of 11 lithographs (including cover, ten on chine appliqué)",9
1888.0,Drypoint,4
1888.0,"Gelatin silver print, printed 1958",2
1888.0,Oil on canvas,2
1888.0,Albumen silver print,1
1888.0,Charcoal on paper,1
1888.0,Etching and drypoint,1
1888.0,Etching with gouache additions,1
1889.0,Albumen silver print (Kodak No. 1),15
1889.0,"Gelatin silver print, printed 1957",7
1889.0,Etching,3
1889.0,Lithograph,3
1889.0,Albumen silver print,2
1889.0,Etching and drypoint,2
1889.0,Illustrated book with one lithograph with chine appliqué,2
1889.0,Lithograph with chine appliqué,2
1889.0,Various materials,2
1889.0,Fifteen albumen silver prints (Kodak No. 1),1
1890.0,Etching,4
1890.0,Lithograph,4
1890.0,"Gelatin silver print, printed 1957",3
1890.0,Lithograph with chine appliqué,2
1890.0,Carbon print,1
1890.0,Charcoal on paper,1
1890.0,Conté crayon on paper,1
1890.0,Drypoint,1
1890.0,Engraving,1
1890.0,"Gelatin silver print, printed 1954",1
1891.0,One from a portfolio of six lithographs on chine appliqué,6
1891.0,Woodcut,5
1891.0,Etching,4
1891.0,Lithograph,3
1891.0,Lithograph with chine appliqué,2
1891.0,Platinum print,2
1891.0,Charcoal and chalk on colored paper,1
1891.0,"Drypoint, printed in black",1
1891.0,Etching and aquatint,1
1891.0,Etching and drypoint,1
1892.0,Lithograph,10
1892.0,Gelatin silver print,3
1892.0,Lithograph with chine appliqué,2
1892.0,One from an album of 50 lithographs,2
1892.0,Albumen silver print (gold-toned),1
1892.0,Broadside with relief engraving and letterpress,1
1892.0,Etching,1
1892.0,Etching and drypoint,1
1892.0,"Gelatin silver print, printed 1936",1
1892.0,Illustrated book with one lithograph with chine appliqué,1
1893.0,Collotype,146
1893.0,Lithograph,24
1893.0,One from a portfolio of twenty-three lithographs (including wrapper front and duplicate on box),23
1893.0,One from an album of 50 lithographs,10
1893.0,Woodcut,5
1893.0,Lithograph with chine appliqué,4
1893.0,Lithograph with stencil additions,3
1893.0,Gelatin silver print,2
1893.0,"Lithograph, printed in color",2
1893.0,Oil on canvas,2
1894.0,Lithograph,27
1894.0,One from an illustrated book with seventeen lithographs (including cover),16
1894.0,Lithograph from an illustrated book with ten lithographs and a supplementary suite of ten lithographs,10
1894.0,Lithograph from the supplementary suite of an illustrated book with ten lithographs and a supplementary suite of ten lithographs,10
1894.0,"Woodcut, printed in color",9
1894.0,One from an album of 50 lithographs,8
1894.0,Photogravure,7
1894.0,Woodcut,6
1894.0,Gelatin silver print (chloride) from a glass negative,4
1894.0,Lithograph and letterpress,3
1895.0,Lithograph,35
1895.0,Etching,9
1895.0,One from an album of 50 lithographs,7
1895.0,"Woodcut, printed in color",7
1895.0,"Woodcut, printed in black",4
1895.0,Albumen silver print,3
1895.0,Drypoint and etching,3
1895.0,Etching and drypoint,2
1895.0,Pencil and colored pencil on tracing paper,2
1895.0,Woodcut,2
1896.0,Lithograph,39
1896.0,One from a portfolio of 23 lithographs on chine appliqué,19
1896.0,One from a portfolio of twelve lithographs,10
1896.0,One from an album of 50 lithographs,10
1896.0,Woodcut,8
1896.0,Etching,3
1896.0,Lithograph on chine appliqué,3
1896.0,Platinum print,3
1896.0,Favrile glass,2
1896.0,Halftone relief,2
1897.0,Lithograph,29
1897.0,Woodcut,13
1897.0,One from a set of four lithographs,8
1897.0,Photogravure,8
1897.0,One from an album of 50 lithographs,6
1897.0,One from a set from four lithographs,4
1897.0,Platinum print,3
1897.0,Set of four lithographs,3
1897.0,Aquatint,1
1897.0,Bronze,1
1898.0,Albumen silver print,84
1898.0,Lithograph,41
1898.0,One from an illustrated book with 19 line block reproductions after drawings (including front cover),19
1898.0,One from a portfolio of thirteen lithographs,11
1898.0,Platinum print,10
1898.0,Lithograph cover and musical score,6
1898.0,Gelatin silver printing-out-paper print,3
1898.0,One from a set of four lithographs,3
1898.0,Etching and drypoint,2
1898.0,Journal with relief etching illustration,2
1899.0,Albumen silver print,116
1899.0,Lithograph,18
1899.0,Lithograph from a portfolio of twelve lithographs and lithographed cover,13
1899.0,Lithograph with chine collé from a portfolio of 13 lithographs (12 with chine collé),12
1899.0,Photogravure,7
1899.0,Platinum print,7
1899.0,Matte albumen silver print,5
1899.0,Gelatin silver print,4
1899.0,Gelatin silver printing-out-paper print,4
1899.0,Lithograph on chine appliqué,4
1900.0,Albumen silver print,185
1900.0,Lithograph from an illustrated book with 109 lithographs and nine wood engravings,109
1900.0,Photogravure,20
1900.0,Lithograph,9
1900.0,Wood engraving from an illustrated book with 109 lithographs and nine wood engravings,9
1900.0,Platinum print,8
1900.0,Matte albumen silver print,7
1900.0,Etching,3
1900.0,Gelatin silver print,3
1900.0,Gum bichromate print,3
1901.0,Albumen silver print,240
1901.0,Photogravure,21
1901.0,Matte albumen silver print,19
1901.0,Platinum print,11
1901.0,Woodcut,6
1901.0,Gravure,4
1901.0,Gelatin silver print,3
1901.0,Gelatin silver printing-out-paper print,3
1901.0,Lithograph,3
1901.0,Bronze,2
1902.0,One from an illustrated book with 156 lithographs (including wrapper front),156
1902.0,Albumen silver print,144
1902.0,Photogravure from gum bichromate print,14
1902.0,Gelatin silver printing-out-paper print,11
1902.0,Matte albumen silver print,11
1902.0,Lithograph,8
1902.0,Photogravure,8
1902.0,Photogravures from gum print,7
1902.0,Platinum print,5
1902.0,Etching,4
1903.0,Albumen silver print,124
1903.0,Gelatin silver printing-out-paper print,10
1903.0,Photogravure,9
1903.0,Lithograph,8
1903.0,Platinum print,7
1903.0,Gelatin silver print,5
1903.0,Pewter,5
1903.0,Etching,4
1903.0,Gravure,4
1903.0,Matte albumen silver print,4
1904.0,Albumen silver print,56
1904.0,Photogravure,14
1904.0,Etching,9
1904.0,One from a portfolio of eight etchings with colored pencil and watercolor additions,6
1904.0,Gelatin silver print,5
1904.0,Pencil on tracing paper,5
1904.0,Letterpress halftone,4
1904.0,Lithograph,4
1904.0,Matte albumen silver print,4
1904.0,Platinum print,4
1905.0,Albumen silver print,150
1905.0,Gelatin silver print,19
1905.0,Etching,12
1905.0,Platinum print,11
1905.0,Photogravure,6
1905.0,Gelatin silver printing-out-paper print,5
1905.0,"Gelatin silver print, printed 1942",3
1905.0,Matte albumen silver print,3
1905.0,Printed linen,3
1905.0,Cotton,2
1906.0,Albumen silver print,47
1906.0,Gelatin silver print,34
1906.0,Lithograph,14
1906.0,Platinum print,8
1906.0,Gravure,6
1906.0,Matte albumen silver print,6
1906.0,Woodcut,5
1906.0,Drawing,4
1906.0,Etching,4
1906.0,Photogravure,4
1907.0,Albumen silver print,156
1907.0,Gelatin silver print,20
1907.0,Lithograph,15
1907.0,Gelatin silver printing-out-paper print,14
1907.0,Photogravure,12
1907.0,Matte albumen silver print,10
1907.0,Platinum print,10
1907.0,Etching,6
1907.0,Line block reproduction from a theater program with six line block reproductions (including front and back cover),6
1907.0,Oil on canvas,6
1908.0,One from an illustrated book with 104 line block reproductions after drawings (including front cover),104
1908.0,Albumen silver print,98
1908.0,Gelatin silver print,31
1908.0,Lithograph,15
1908.0,Photogravure,9
1908.0,Matte albumen silver print,6
1908.0,Platinum print,5
1908.0,Gelatin silver printing-out-paper print,4
1908.0,Pencil on paper,4
1908.0,Etching,2
1909.0,Albumen silver print,81
1909.0,One from an illustrated book with thirty-two woodcuts,30
1909.0,Gelatin silver print,18
1909.0,Lithograph,14
1909.0,Oil on canvas,5
1909.0,Woodcut,3
1909.0,Double-sided broadside with relief print and letterpress,2
1909.0,"Gelatin silver print, printed 1942",2
1909.0,Carbon print,1
1909.0,Cast iron,1
1910.0,Albumen silver print,113
1910.0,Gelatin silver print,40
1910.0,Lithograph,39
1910.0,Photogravure,36
1910.0,Lithograph from an illustrated book with twenty-two lithographs (including pictorial initials and ornaments),22
1910.0,One from an exhibition catalogue with twenty woodcuts,17
1910.0,Matte albumen silver print,13
1910.0,Gelatin silver printing-out-paper print,10
1910.0,Etching,9
1910.0,Lithograph and pochoir,6
1911.0,Albumen silver print,185
1911.0,Gelatin silver print,33
1911.0,Woodcut from an illustrated book with eleven woodcuts,11
1911.0,Oil on canvas,10
1911.0,Lithograph,9
1911.0,Etching,7
1911.0,Gelatin silver printing-out-paper print,6
1911.0,Woodcut,5
1911.0,Matte albumen silver print,4
1911.0,Charcoal and conté crayon on paper,3
1912.0,Albumen silver print,187
1912.0,Gelatin silver print,47
1912.0,Gouache and ink on paper,22
1912.0,Gelatin silver printing-out-paper print,19
1912.0,Lithograph,17
1912.0,1 sheet,15
1912.0,"Lithograph with lithographed manuscript text from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover
",15
1912.0,"Lithograph from an illustrated book with twenty-seven lithographs (thirteen with lithographed manuscript text), six rubber-stamped texts, five lithographed manuscript texts, and collaged cover",14
1912.0,"Lithograph with lithographed manuscript text from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover",14
1912.0,"Lithograph from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover
",13
1913.0,Albumen silver print,190
1913.0,Watercolor and ink on paper on black paper-faced board,59
1913.0,Gelatin silver print,30
1913.0,Lithograph,19
1913.0,1 sheet,16
1913.0,Lithograph from an illustrated book with 16 lithographs,16
1913.0,Drypoint,15
1913.0,Lithograph from an illustrated book with twenty-four lithographs and lithographed manuscript texts (including front and back covers),14
1913.0,Etching,13
1913.0,"Ink, watercolor, and gelatin silver prints on paper",12
1914.0,Albumen silver print,75
1914.0,Lithograph,30
1914.0,Gelatin silver print,19
1914.0,Lithograph with lithographed manuscript text from an illustrated book with 26 lithographs (including cover) with lithographed manuscript text,19
1914.0,Lithographed manuscript text from an illustrated book with 26 lithographs (including cover) with lithographed manuscript text,15
1914.0,One from a portfolio of fourteen lithographs,14
1914.0,One from a portfolio of fourteen lithographs with letterpress cover,14
1914.0,Hectographed illustration and manuscript text from a book with 15 hectographed illustrations and hectographed manuscript text (including cover),10
1914.0,Oil on canvas,10
1914.0,Hectographed illustration from a book with ten hectographed illustrations (including cover and uncut sheet) and hectographed manuscript text,9
1915.0,Woodcut from an illustrated book with 157 woodcuts and 17 etchings (including wrapper front),157
1915.0,Albumen silver print,24
1915.0,Etching,22
1915.0,Etching from an illustrated book with 157 woodcuts and 17 etchings (including wrapper front),17
1915.0,Gelatin silver print,15
1915.0,Platinum print,10
1915.0,"Rubber-stamped text from an illustrated book with nine linoleum cuts, ten rubber-stamped texts, and two collages (including cover)",10
1915.0,"Rubber-stamped text from an illustrated book with nine linoleum cuts, two collages (including cover), and rubber-stamped text",10
1915.0,Lithograph,9
1915.0,"Linoleum cut from an illustrated book with nine linoleum cuts, ten rubber-stamped texts, and two collages (including cover)",8
1916.0,Lithograph,90
1916.0,Collage from an illustrated book with 12 collages,24
1916.0,Gelatin silver print,15
1916.0,Drypoint,8
1916.0,One from an illustrated book with seven woodcuts,7
1916.0,"Linoleum cut, printed in color",6
1916.0,Etching,5
1916.0,Photogravure,5
1916.0,Drawing,4
1916.0,One from a series of six woodcuts,4
1917.0,Lithograph,35
1917.0,Woodcut,12
1917.0,Drypoint,9
1917.0,Etching,9
1917.0,Gelatin silver print,8
1917.0,"Collage from a book with eight collages (including cover, one with letterpress) and four lithographs (three with collage additions) with lithographed manuscript text",7
1917.0,"Collage from a book with eight collages (including cover, one with letterpress), four lithographs (three with collage additions), and lithographed manuscript text",7
1917.0,Oil on canvas,7
1917.0,Pencil on paper,7
1917.0,Platinum print,6
1918.0,Lithograph,42
1918.0,Woodcut,24
1918.0,One from a portfolio of eighteen lithographs,18
1918.0,One from an illustrated book with twelve woodcuts,12
1918.0,Gelatin silver print,10
1918.0,Drypoint,8
1918.0,Letterpress,7
1918.0,Drypoint from an illustrated book with six drypoints,6
1918.0,Oil on canvas,6
1918.0,Etching,4
1919.0,Lithograph,26
1919.0,Lithograph from a periodical with five lithographs,18
1919.0,Woodcut,18
1919.0,Pochoir from an illustrated book with twenty-two pochoirs (six with line block) and two line blocks on front and back covers,16
1919.0,Gelatin silver print,15
1919.0,Letterpress,15
1919.0,One from an illustrated book with thirteen lithographs (including cover),13
1919.0,Lithograph from a periodical with four lithographs,12
1919.0,One from a portfolio of 11 lithographs,11
1919.0,One from a portfolio of eleven lithographs (including front cover),10
1920.0,Woodcut from an illustrated book with 61 woodcuts,61
1920.0,Collotype and pochoir from a portfolio of thirty-two collotypes (thirty-one with pochoir),31
1920.0,Lithograph,28
1920.0,Albumen silver print,21
1920.0,Gelatin silver print,20
1920.0,One from an illustrated book with nineteen woodcuts,19
1920.0,Etching,14
1920.0,"Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",12
1920.0,Woodcut,12
1920.0,"Lithograph from a portfolio of eleven lithographs and unique manifesto, colophon, front and back covers in gouache, ink, and pencil",11
1921.0,Albumen silver print,141
1921.0,Lithograph,43
1921.0,Gelatin silver print,26
1921.0,"Wood engraving, printed in black",26
1921.0,"Etching, printed in black",25
1921.0,Matte albumen silver print,18
1921.0,One from a portfolio of thirteen lithographs,13
1921.0,Woodcut from a portfolio of twelve woodcuts and one woodcut cover,12
1921.0,Woodcut,9
1921.0,Etching,8
1922.0,Albumen silver print,99
1922.0,Gelatin silver print,37
1922.0,Lithograph,29
1922.0,Drypoint,18
1922.0,Matte albumen silver print,18
1922.0,Gelatin silver printing-out-paper print,16
1922.0,Letterpress,14
1922.0,Gelatin silver print after rayograph,12
1922.0,One from an illustrated book with twelve lithographs,12
1922.0,Letterpress from an illustrated book with ten letterpress illustrations and photogravure covers,10
1923.0,Albumen silver print,112
1923.0,Lithograph,67
1923.0,Gelatin silver print,51
1923.0,Letterpress,40
1923.0,Matte albumen silver print,30
1923.0,Woodcut from an illustrated book with twenty-four woodcuts,24
1923.0,Gelatin silver printing-out-paper print,17
1923.0,Etching,13
1923.0,paper,11
1923.0,Woodcut,10
1924.0,Matte albumen silver print,101
1924.0,Gelatin silver print,62
1924.0,"Etching, printed in black",52
1924.0,Letterpress,50
1924.0,Woodcut from an illustrated book of fifty woodcuts,49
1924.0,Lithograph,39
1924.0,One from an illustrated book with eighteen collotype reproductions (including cover),18
1924.0,Gelatin silver printing-out-paper print,10
1924.0,Gravure,10
1924.0,One from an illustrated book with ten softground etchings,10
1925.0,Gelatin silver printing-out-paper print,119
1925.0,Gelatin silver print,66
1925.0,Letterpress,53
1925.0,Lithograph,50
1925.0,Matte albumen silver print,19
1925.0,Etching,10
1925.0,Oil on canvas,10
1925.0,Drypoint,8
1925.0,Palladium print,8
1925.0,Tempera on poster board,7
1926.0,Gelatin silver print,90
1926.0,Gelatin silver printing-out-paper print,90
1926.0,Letterpress,45
1926.0,Lithograph,38
1926.0,One from an illustrated book with twenty lithographs,20
1926.0,Pencil on paper,14
1926.0,Etching,13
1926.0,Etching from an illustrated book with eleven etchings,11
1926.0,Pencil on tracing paper,11
1926.0,paper,11
1927.0,Gelatin silver print,99
1927.0,Lithograph,74
1927.0,"One from an illustrated book with 52 line block and pochoir reproductions after pen and ink drawings (including duplicates on wrapper front and title page), printed in color",52
1927.0,Letterpress,50
1927.0,"Lithograph, printed in black",24
1927.0,Etching,22
1927.0,Gelatin silver printing-out-paper print,18
1927.0,"Journal, letterpress printed",15
1927.0,Stencil,15
1927.0,Oil on canvas,11
1928.0,One from an illustrated book with 329 woodcuts,324
1928.0,Lithograph,132
1928.0,Gelatin silver print,117
1928.0,Letterpress,66
1928.0,Pencil on tracing paper,33
1928.0,Watercolor and crayon on graph paper from a disbound sketchbook,24
1928.0,Watercolor and pencil on graph paper from a disbound sketchbook,21
1928.0,"Journal, letterpress printed",18
1928.0,Pencil on paper,16
1928.0,Print,13
1929.0,Gelatin silver print,140
1929.0,Lithograph,97
1929.0,Letterpress,52
1929.0,Etching with chine collé,36
1929.0,Pencil on tracing paper,28
1929.0,Print,21
1929.0,Drypoint with chine collé,14
1929.0,Journal,13
1929.0,Drawing,11
1929.0,Etching,11
1930.0,Gelatin silver print,139
1930.0,Pencil on tracing paper,95
1930.0,Lithograph,74
1930.0,One from an illustrated book with sixty-eight lithographs (including wrapper),68
1930.0,Letterpress,59
1930.0,"Woodcut and pochoir, printed in color",53
1930.0,Lithograph from an illustrated book with 26 lithographs and supplementary suite,52
1930.0,"Woodcut, printed in black",51
1930.0,"Soft ground etching, printed in black",37
1930.0,"Woodcut, printed in color",36
1931.0,Pencil on tracing paper,255
1931.0,Gelatin silver print,189
1931.0,"Postcard from a portfolio of 70 postcards and one booklet, letterpress printed",70
1931.0,Lithograph,63
1931.0,Letterpress,54
1931.0,Letterpress from an illustrated book with fifty-two letterpress prints and one supplementary ink on paper drawing,52
1931.0,Print,47
1931.0,Pencil and colored pencil on tracing paper,26
1931.0,Gouache and pencil on paper,17
1931.0,Etching,16
1932.0,Gelatin silver print,214
1932.0,Pencil on copy paper,89
